x,y,z,entity_type
187.92693427364796,23.70433392102997,0.072,TRANSITION
188.8043790233302,24.252736889581378,0.072,TRANSITION
189.45549223010374,24.65968264381484,0.072,TRANSITION
189.8605928902374,24.91287055639838,0.072,TRANSITION
190.0,25.0,0.072,TRANSITION
190.0,25.0,0.072,PRISMATIC_DOWN
190.0,25.0,0.07142265636390144,PRISMATIC_DOWN
190.0,25.0,0.06977460271176555,PRISMATIC_DOWN
190.0,25.0,0.06718180492783203,PRISMATIC_DOWN
190.0,25.0,0.06377022889634057,PRISMATIC_DOWN
190.0,25.0,0.059665840501530835,PRISMATIC_DOWN
190.0,25.0,0.05499460562764251,PRISMATIC_DOWN
190.0,25.0,0.0498824901589153,PRISMATIC_DOWN
190.0,25.0,0.044455459979588864,PRISMATIC_DOWN
190.0,25.0,0.0388394809739029,PRISMATIC_DOWN
190.0,25.0,0.0331605190260971,PRISMATIC_DOWN
190.0,25.0,0.02754454002041114,PRISMATIC_DOWN
190.0,25.0,0.02211750984108471,PRISMATIC_DOWN
190.0,25.0,0.017005394372357506,PRISMATIC_DOWN
190.0,25.0,0.01233415949846918,PRISMATIC_DOWN
190.0,25.0,0.008229771103659439,PRISMATIC_DOWN
190.0,25.0,0.004818195072167963,PRISMATIC_DOWN
190.0,25.0,0.002225397288234454,PRISMATIC_DOWN
190.0,25.0,0.0005773436360985568,PRISMATIC_DOWN
190.0,25.0,2.7755575615628914e-17,PRISMATIC_DOWN
190.0,25.0,0.0,CIRCLE
189.99885760756635,25.010869137963535,0.0,CIRCLE
189.99553794955327,25.04245357416345,0.0,CIRCLE
189.99020230489253,25.093218842063727,0.0,CIRCLE
189.983011952516,25.161630475128327,0.0,CIRCLE
189.9741281713555,25.24615400682122,0.0,CIRCLE
189.96371224034274,25.345254970606387,0.0,CIRCLE
189.95192543840963,25.4573988999478,0.0,CIRCLE
189.93892904448794,25.58105132830942,0.0,CIRCLE
189.9248843375095,25.71467778915523,0.0,CIRCLE
189.90995259640607,25.85674381594919,0.0,CIRCLE
189.89429510010953,26.005714942155283,0.0,CIRCLE
189.8780731275516,26.160056701237473,0.0,CIRCLE
189.8614479576642,26.31823462665973,0.0,CIRCLE
189.84458086937906,26.478714251886036,0.0,CIRCLE
189.82763314162804,26.639961110380355,0.0,CIRCLE
189.81076605334292,26.80044073560666,0.0,CIRCLE
189.7941408834555,26.95861866102892,0.0,CIRCLE
189.77791891089757,27.11296042011111,0.0,CIRCLE
189.76226141460103,27.2619315463172,0.0,CIRCLE
189.74732967349763,27.403997573111162,0.0,CIRCLE
189.73328496651916,27.53762403395697,0.0,CIRCLE
189.72028857259747,27.661276462318593,0.0,CIRCLE
189.70850177066436,27.77342039166,0.0,CIRCLE
189.6980858396516,27.87252135544517,0.0,CIRCLE
189.68920205849108,27.957044887138068,0.0,CIRCLE
189.68201170611457,28.025456520202667,0.0,CIRCLE
189.67667606145383,28.076221788102934,0.0,CIRCLE
189.67335640344075,28.10780622430286,0.0,CIRCLE
189.6722140110071,28.118675362266394,0.0,CIRCLE
189.6722140110071,28.11867536226639,0.0,CIRCLE
189.66883676173728,28.12906946674501,0.0,CIRCLE
189.6590228726827,28.159273511524052,0.0,CIRCLE
189.64324913197547,28.2078200936183,0.0,CIRCLE
189.62199232774788,28.273241810042535,0.0,CIRCLE
189.5957292481321,28.35407125781155,0.0,CIRCLE
189.56493668126035,28.44884103394012,0.0,CIRCLE
189.53009141526482,28.556083735443035,0.0,CIRCLE
189.49167023827772,28.674331959335074,0.0,CIRCLE
189.45014993843128,28.802118302631015,0.0,CIRCLE
189.40600730385773,28.937975362345654,0.0,CIRCLE
189.35971912268923,29.08043573549376,0.0,CIRCLE
189.31176218305797,29.22803201909013,0.0,CIRCLE
189.2626132730962,29.37929681014954,0.0,CIRCLE
189.21274918093613,29.532762705686775,0.0,CIRCLE
189.16264669470996,29.686962302716616,0.0,CIRCLE
189.1127826025499,29.840428198253854,0.0,CIRCLE
189.06363369258813,29.991692989313265,0.0,CIRCLE
189.01567675295692,30.13928927290963,0.0,CIRCLE
188.9693885717884,30.281749646057744,0.0,CIRCLE
188.92524593721484,30.417606705772375,0.0,CIRCLE
188.88372563736837,30.545393049068323,0.0,CIRCLE
188.84530446038133,30.663641272960355,0.0,CIRCLE
188.81045919438577,30.770883974463267,0.0,CIRCLE
188.77966662751402,30.86565375059184,0.0,CIRCLE
188.75340354789824,30.94648319836086,0.0,CIRCLE
188.73214674367065,31.011904914785095,0.0,CIRCLE
188.71637300296342,31.06045149687934,0.0,CIRCLE
188.70655911390884,31.090655541658382,0.0,CIRCLE
188.70318186463902,31.101049646137,0.0,CIRCLE
188.70318186463902,31.101049646137003,0.0,CIRCLE
